"지역별",2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
"지역별",ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2,ML≥5,5> ML≥4,4＞ML≥3,3＞ML≥2
"계",0,1,6,34,0,1,10,38,1,2,6,29,1,0,5,36,0,1,14,22,0,0,7,43,0,1,1,40,0,1,9,36,0,1,9,50,0,0,5,37,0,1,13,38,0,0,9,47,0,3,15,75,1,0,7,41,0,0,5,39,3,1,30,218,1,1,17,204,0,1,4,110,0,2,12,74,0,0,5,63,0,2,3,65,0,1,7,69,0,2,14,90,0,1,6,80
"서울·경기·인천",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1
"부산·울산·경남",0,0,0,2,0,0,2,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,5,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,7,0,0,0,2,0,0,1,1,0,0,0,3
"대구·경북",0,0,3,5,0,0,0,4,0,0,2,6,0,0,1,3,0,0,0,3,0,0,0,2,0,0,0,5,0,0,0,3,0,1,1,8,0,0,0,5,0,0,1,3,0,0,0,11,0,0,1,5,0,0,2,8,0,0,0,6,2,1,21,155,1,1,9,110,0,1,0,34,0,0,1,10,0,0,1,11,0,0,0,5,0,0,1,6,0,1,0,4,0,0,0,7
"광주·전남",0,0,0,3,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1
"전북",0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,2,1,0,1,1,3
"대전·충남·세종",0,0,0,4,0,0,1,4,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,2
"충북",0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,1,0,1,1,3,0,0,1,1,0,0,0,0
"강원",0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"제주",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"북한",0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,4,0,0,1,2,0,0,2,3,0,0,0,7,0,0,4,7,0,0,2,11,0,0,0,10,0,0,2,8,0,0,1,6,0,0,1,6,0,0,0,7,0,0,0,3,0,0,5,18,0,0,2,23,0,0,1,12,0,0,5,16,0,0,2,18,0,0,1,15,0,0,2,18,0,0,3,34,0,0,3,28
"서해",0,0,2,8,0,1,3,9,1,2,3,8,0,0,1,7,0,0,6,4,0,0,1,8,0,0,0,3,0,0,2,10,0,0,4,10,0,0,1,3,0,1,3,9,0,0,0,12,0,2,8,42,1,0,0,11,0,0,2,5,0,0,1,5,0,0,3,18,0,0,3,17,0,0,2,14,0,0,1,10,0,1,1,17,0,0,1,12,0,0,3,17,0,0,0,12
"남해",0,0,0,2,0,0,0,2,0,0,0,3,0,0,1,9,0,1,5,3,0,0,0,6,0,0,0,0,0,1,1,3,0,0,0,9,0,0,2,5,0,0,3,7,0,0,3,4,0,1,0,4,0,0,1,6,0,0,1,11,0,0,0,12,0,0,1,17,0,0,0,13,0,0,0,11,0,0,0,3,0,1,1,2,0,0,1,11,0,0,0,6,0,0,1,13
"동해",0,1,0,2,0,0,1,4,0,0,0,5,1,0,1,3,0,0,1,6,0,0,3,10,0,0,1,12,0,0,1,5,0,0,1,4,0,0,1,6,0,0,4,6,0,0,2,7,0,0,3,12,0,0,2,5,0,0,1,7,1,0,1,13,0,0,1,19,0,0,0,18,0,2,2,12,0,0,0,7,0,0,0,10,0,0,1,10,0,1,3,17,0,0,1,10
