시점,총계,총계,총계,강원특별자치도,강원특별자치도,강원특별자치도,경기도,경기도,경기도,경상남도,경상남도,경상남도,경상북도,경상북도,경상북도,광주광역시,광주광역시,광주광역시,대구광역시,대구광역시,대구광역시,대전광역시,대전광역시,대전광역시,부산광역시,부산광역시,부산광역시,서울특별시,서울특별시,서울특별시,세종특별자치시,세종특별자치시,세종특별자치시,울산광역시,울산광역시,울산광역시,인천광역시,인천광역시,인천광역시,전라남도,전라남도,전라남도,전북특별자치도,전북특별자치도,전북특별자치도,제주특별자치도,제주특별자치도,제주특별자치도,충청남도,충청남도,충청남도,충청북도,충청북도,충청북도
연도,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량,사업장내 배출량,자가매립량,위탁처리량
1999,16379541,0,30866741,-,-,-,1310752,0,4727324,174756,0,42912,210355,0,141182,-,-,-,-,-,-,-,-,-,205548,0,2753328,1033,0,231,-,-,-,6718538,0,13952567,670140,0,185839,3749964,0,6452416,1418088,0,272567,-,-,-,1262777,0,812917,657590,0,1525457
2000,30143167,0,95173024,11448,0,305319,3711153,0,21638343,2737240,0,7873338,5699511,0,14949714,43100,0,1381055,1873066,0,2041289,59342,0,3320029,538462,0,4454051,267180,0,19637,-,-,-,5464377,0,18857062,1338558,0,606419,4411314,0,13235325,1268639,0,1294956,-,-,-,1451706,0,2967020,1268072,0,2229468
2001,36587477,0,254324098,9620,0,226123,2884812,0,40086039,3175394,0,7826079,5763410,0,18014079,222153,0,1461562,2332853,0,55969268,5061,0,2603688,865712,0,7557400,710842,0,319885,-,-,-,6858973,0,19516560,1138192,0,10288349,7153779,0,79246328,1055648,0,2885139,-,-,-,2295887,0,3179862,2115140,0,5143739
2002,34271815,3802095,282523551,40224,0,4213690,3714451,0,44934935,4014041,2577,16594049,1712557,1373231,24869012,216825,0,1641927,6833153,0,53634781,5153,0,2139172,845185,0,14296398,1163568,0,288786,-,-,-,4977666,461,21863124,1309967,0,12599200,3671422,2425826,66415638,1263114,0,4684669,-,-,0,2171050,0,8155279,2333440,0,6192891
2003,38041021,3653296,323673783,97383,0,4461769,5158853,0,55873029,4160855,85505,18915104,1440794,2110144,48781785,108895,0,1831838,6691149,0,41354660,955103,0,973017,784892,0,17175569,1122556,0,281276,-,-,-,6036512,0,22127246,1426847,0,7500932,3652328,1438636,80242613,1055531,19010,4685924,-,0,0,3184584,0,10944001,2164740,0,8525019
2004,51020912,5592496,323985865,993938,0,6463938,9428169,1,74625090,6058240,85831,22329173,2857710,3441795,39344384,193476,0,1803003,6772378,0,40482603,252230,0,5193847,2277229,0,17802776,215912,0,663438,-,-,-,6740563,48450,52399876,3326181,0,13269523,3249994,1994996,14594244,1471037,0,6594970,0,0,309,4128961,11400,14311524,3054894,10023,14107167
2005,47298912,8011517,331124895,957236,0,7096787,9575146,1,84697367,7677484,39957,18713597,2705166,2377412,48312314,283611,0,1559216,2077579,0,35790046,247331,0,3441253,2026635,0,14980324,187864,0,690822,-,-,-,8129133,1683930,31784743,2614304,74057,11906832,2939843,3592768,19743584,1159742,229136,13772179,0,0,42262,3834088,11400,22333236,2883750,2857,16260333
2006,47796041,4268205,328097348,856180,0,7708184,8915323,0,83786859,7490199,19996,22211692,3030365,352924,35685369,784624,0,2426488,3526979,0,27851321,210549,0,4745414,2195998,0,12753130,163009,0,450961,-,-,-,7672947,1764089,29761231,2428314,30400,10666548,3041829,2100385,26212722,1168595,0,12268405,0,0,2725,3444545,0,32485263,2866585,412,19081038
2007,47688180,6648954,368677954,784150,0,2483096,7960369,0,93711230,8807404,2153,21424937,3675304,2701618,60642349,636232,0,3319262,2785287,0,30655242,175911,0,4892588,2773063,0,11991348,157684,0,529546,-,-,-,7788883,2012561,31040480,2708350,0,9371736,2686517,1734677,19760540,748141,197130,8980935,169,0,2659,3192269,0,48389632,2808450,816,21482376
2008,47624556,6999754,422078941,809707,0,2283484,7348886,0,92490298,10173336,6633,21729804,3116682,3832076,119337373,226387,0,2618928,2380173,0,30357108,271036,0,4655841,2495293,0,11798629,110810,0,435411,-,-,-,8761420,1798204,27997733,2644669,0,7092047,2953674,641336,15862807,935026,717123,8775450,52,0,3060,2921636,146,54605487,2475768,4236,22035483
2009,46988587,10861225,527764636,414144.2,0,15794857.1,6673301.2,0,76587655.5,10531847.1,1096.4,20936727.4,2767559.9,7772559.8,229320629.6,247584.8,0,2822662,2195933.2,0,29796666.6,198264.5,0,4306699,2189404.7,0,11784749.7,114570.3,0,395219.5,-,-,-,8244558.3,2137876.6,31204318.4,1731296.2,0,7388202.3,3620405.5,677227,18147639.7,955750.4,272000,8627556.2,14.2,0,7335,3041180,0,50195590.8,4062772.8,464.8,20448127.5
2010,50034309,136380291.6,552702444.6,339632.7,0,20684870,7196160.8,0,90375863.8,11580961.8,3403865.6,28113725.3,3334346.2,129450307.3,188559513.8,877007.6,0,3606810.7,1561958.9,0,31483506.8,196696.2,0,4912922,2014249.9,0,17282413.8,111136.6,0,359286,-,-,-,7855974.1,2212424,40561598.5,1703191.1,120000,8431141.5,3481369,931754.8,21295278.9,1128466.4,218370.5,10757405.6,472,0,7177,3107959.3,43569.4,61995210.4,5544726.4,0,24275720.5
2011,52288640.3,26775894.2,629740738.6,467507.7,0,36368644.2,8445029.2,0,93615062.2,9877736.9,3393488.9,29436986.7,3291838.5,18801668,201186255.9,1000824.3,0,3927065.1,1892599.2,0,37670094.8,226261.4,0,5553966,2036296.5,80000,17504266,59408.4,0,345418.5,-,-,-,9115392.9,2670510,44161777.8,1549160.6,457427,8918909.5,3859623.2,1212753.9,42891652.7,1480886.4,143590,12598394.4,170.6,0,9328,3115551.6,16266.6,66885646.6,5870352.9,189.8,28667270.2
2012,51121061,20347612.9,692538625.6,453900.8,0,37376127.9,8078299.6,0,95654631,9509145,2986813.7,27935971.7,3821175.1,13565624.4,223066735.4,1341141.7,0,3742467.3,1429658.8,0,41638568.5,163914.7,0,5366587.8,2225697.6,102093,19008738.8,60908,0,412021.2,-,-,-,8513310.5,2420276.4,39086146.6,1594419,386130,9184051.4,4060907.3,772831,78599836.3,1728625.5,41530,11988685.6,385.2,0,21980,3345155.1,72081.7,64178219,4794417.1,232.7,35277857.1
2013,50767029.6,19879114.6,740710439.9,453302.7,16000,45508808.2,9694232.7,10900,109632554,8606435,945,28107118.3,4166012.6,16525519.2,218502143.3,1397410.5,0,4301569.8,1324663,0,43991655.5,144589.6,0,5486755.2,2281568.2,0,19030516.8,62116.3,0,2048862.2,119646.4,0,3841964,8138803.4,2574862.6,50118854.5,1391766.1,0,9223854.2,4334862.7,595968.9,72893651.6,2040936.2,57030,13100797.6,356.4,0,22850,3245764.2,97488.5,77055781.2,3364563.6,400.4,37842703.5
2014,54261120.1,8012206.7,872448118.3,456964.7,0,49830234.3,11734104.1,0,120744011.2,8813321.3,1200.4,26848922.5,3618499.8,3550643.5,244925758.6,1719400.9,0,4199012.5,1411534.6,0,37889523.5,112660.3,0,5295852.7,1302261.8,0,16125329.4,57750.4,0,3120173.7,181480.5,0,4651498.2,8556413.7,2980892,52105961.7,1323276.3,1026460,10232996.1,4793274.2,294310.6,170727485.9,2295231.7,28400,15634116.4,265.5,0,18564,3815296.2,129145.1,72679708.6,4069384.1,1155.1,37418969
2015,53732487.1,8199044.4,864384048.1,480751.3,0,47104421.7,11547269.2,0,151913565.3,8742315.4,1034,24973315,3225735,3320200.1,192417230.5,1716388.7,0,4133870.9,1370917.4,0,40321503.7,166821.9,0,9020705,1715767.8,0,17133065.6,64398.9,0,3752653.8,145905.6,0,2772199,8107154.1,2805034.8,44181754.5,1152730.2,1627700,11049133.8,4455256.5,321406,159776505.3,2964378.8,51420,18680423.9,213.4,0,19366,3930775.6,69130.8,94189322.2,3945707.3,3118.7,42945011.9
2016,57247558.3,15448067.3,833411952,692730.2,0,26886473.5,13090558.9,114360,163230606.4,9393334.3,2222400,24020467.2,3074377.7,11126739.5,222107696.1,1571986.6,0,4007978.2,1312980.9,0,34351874.8,176229.1,0,8946577.9,2201488,0,17495046.9,33868.3,0,4749167.1,166827.4,0,2866692.6,7277547.4,1453753.3,51280718,1186108.4,10.5,9497310.3,4237801.4,387541.3,118117645,3005711.1,0,19957824.7,596.8,0,15890,4591722.7,142369,77766590,5233689.1,893.7,48113393.3
2017,56232177.7,10328133.5,911902721.1,761239.2,195,19725568.1,15365634.6,264480,209277908.1,7306072.4,5507251.5,21281001.4,2865651.8,1998489.9,234739296.3,1455119.9,0,5381042.2,1591074.6,0,34646666.1,243368.8,0,9891836.4,1802794.2,0,16261545.7,16496,0,5448844.6,126114.2,0,4996842.3,6831527.2,1636510,50699828.7,1713987,0,9860234.6,3405352.7,899264.7,138562127.8,2203779.3,0,28574889.7,904,0,118100,5699364.9,20312.7,70008590.6,4843696.9,1629.7,52428398.5
2018,55213261.5,2947372.1,1064832804.2,598373,23048.8,55307166.7,15228607.5,0,270021490.1,6315578.6,1111.7,20297888.7,2562477.8,76719.7,272402265.7,1520842.9,0,7394506.7,1660597,0,34253301.6,167835.3,0,9953558.3,1319821,0,11873051.9,17419.8,0,5226590.9,117646.7,0,5541202.9,8106728.7,1208164,51657720.5,1659134.2,0,10467520.8,3340692.2,1627731.1,150105490.7,1787382.3,0,15623098.4,1034.4,0,82202,5913230.6,8658,79449864.5,4895859.5,1938.8,65175883.8
2019,56262558.2,5712877.9,1103250834.7,693902.6,45731.4,25196891.6,13697380.4,0,283932825.3,6763114.8,0,19684457.2,2528691.9,100176.4,279576339.3,1579547.7,0,9233343.1,1499238.6,0,29730646.2,167011.2,0,9379248.8,1399132,0,10685432.2,11876.1,0,3307637.3,236216.6,0,6534240.1,9035600.4,979340.9,52250655,1272921.7,1497979,10314935.6,3845761.3,2720988.1,166634867.8,2048601.4,358911.7,19777749.1,1003.1,0,77014,5773262.9,7797.3,98041179,5709295.5,1953.1,78893373.1
2020,60206324.3,7768777.3,1136331148,683103.3,15539.1,46535601.9,17204568,0,287310078.6,5907481.9,0,18904826.7,2426182.7,1929820.3,293395095.2,810114.1,0,8970498.1,2273280.1,0,24062834.3,151756.1,0,5873240.9,1323650,0,9103506.4,14070.6,0,3988695.4,112204.7,0,7515439,8203014.9,921771,46547489.9,1276717.8,1561632,9661033.8,4219256.7,3333617,185732189,1253161.6,34.2,19323902.8,2677.5,0,88164,8179484.1,4748.1,88527283.2,6165600.2,1615.6,80791268.8
2021,65212621.1,4951712.2,1185855877.2,562604,111113,21274032.1,20632800.1,25000,331738802.5,5238351.2,0,21798831.2,2181681.2,0,291468556.7,870985,0,7612009,2193786.3,0,25685101,118500.5,0,6405542,1503046.2,0,10075840.7,13185.5,0,4906463.7,137932,0,5846396.4,7429119.8,819580,49525681.8,1996215.7,0,8833117.1,3770411.3,3183504.8,201306391.9,1468996.8,30810,21845319.6,2187.7,0,95487,10172758.5,779509.9,85050790.6,6920059.3,2194.5,92387513.9
2022,61035192.1,2908385.8,1394289145.2,361229.7,30643,108427352.8,17665759.4,0,391933625.7,5781221,0,20566677.7,2842379.5,0,302762661.5,694027.8,0,8374960,2129268.3,0,25030267.5,88740,0,5804393,1488916.3,0,10393112.3,14264.4,0,7242819.7,157883.7,0,6940586.9,7113694.3,858107.8,59067235.5,1836488.5,0,23184559.5,2970730.4,1277108.8,207116475.5,1646911.2,28580,26131455.1,1632.8,0,69674,10733426.8,711990,90208112,5508618,1956.2,101035176.5
2023,55668638.9,6922526.9,1317951808.8,460591.2,21146,21568342,15494398.9,0,374118127.4,5266875.6,0,22550283.6,2767418.9,0,328381381.9,579353.8,0,6973951.2,1916640.2,0,25772280.5,64107.8,0.1,4079956.4,1174608.2,0,9494344.3,9222.1,0,3831418.5,129523.3,0,8911354.6,7102672.4,1575910,56645574.2,1992238.8,0,20729936.1,3873955.2,1871831.2,228463418.3,1425873.2,0,29291268.1,2141.5,0,71994,8548092.7,3451860,97880669.9,4860925.1,1779.6,79187507.8
